atom_id_ref,layer,component,ΔBEC_xx,x,y,ΔBEC_xy,ΔBEC_xz,ΔBEC_yx,ΔBEC_yy,ΔBEC_yz,ΔBEC_zx,ΔBEC_zy,ΔBEC_zz
29361,A,xx,-0.3151099999999998,28.8971,129.074,,,,,,,,
29829,A,xx,-0.18954000000000004,32.7501,125.221,,,,,,,,
29841,A,xx,0.3541500000000002,32.7501,129.074,,,,,,,,
30309,A,xx,0.7279400000000003,36.603,125.221,,,,,,,,
30321,A,xx,-0.30809,36.603,129.074,,,,,,,,
28413,A,xx,0.7475800000000001,21.1912,132.927,,,,,,,,
28893,A,xx,-0.30911,25.0442,132.927,,,,,,,,
29373,A,xx,0.7420400000000003,28.8971,132.927,,,,,,,,
29853,A,xx,-0.3113600000000001,32.7501,132.927,,,,,,,,
30333,A,xx,0.7385900000000003,36.603,132.927,,,,,,,,
28425,A,xx,-0.22189999999999976,21.1912,136.78,,,,,,,,
28905,A,xx,0.6572100000000001,25.0442,136.78,,,,,,,,
29385,A,xx,-0.22236999999999973,28.8971,136.78,,,,,,,,
29865,A,xx,0.6550500000000001,32.7501,136.78,,,,,,,,
30345,A,xx,-0.2244299999999999,36.603,136.78,,,,,,,,
28437,A,xx,0.7052,21.1912,140.633,,,,,,,,
28917,A,xx,-0.21668999999999983,25.0442,140.633,,,,,,,,
29397,A,xx,0.7033200000000002,28.8971,140.633,,,,,,,,
29877,A,xx,-0.2189899999999998,32.7501,140.633,,,,,,,,
30357,A,xx,0.6982400000000002,36.603,140.633,,,,,,,,
28449,A,xx,-0.21076000000000006,21.1912,144.486,,,,,,,,
28461,A,xx,0.7014499999999999,21.1912,148.339,,,,,,,,
28929,A,xx,0.6938400000000002,25.0442,144.486,,,,,,,,
